,Unnamed: 0,Star_name,Distance,Mass,Radius,Gravity
0,0,Sun,0.000015813,1.0,1.0,95404527813.7128
1,1,Sirius,8.6,2.1,1.71,117163455209.82272
2,2,Canopus,310,15.0,71.0,20155886157.82665
3,3,Alpha Centauri,4.4,1.1,1.2,87454150495.9034
4,4,Arcturus,37,1.1,26.0,4036345407.503234
5,5,Vega,25,2.2,2.7,77737022663.02524
6,6,Capella,43,2.6,12.0,20670981026.30444
7,7,Rigel,860,23.0,78.9,27811205826.55759
8,8,Procyon,11.4,1.5,1.9,75319364063.45747
9,9,Betelgeuse,640,20.0,950.0,2008516375.0255325
10,10,Achernar,144,6.7,9.3,68732294231.38448
11,11,Hadar,390,10.5,8.6,116482272330.69585
12,12,Altair,17,1.8,1.8,95404527813.7128
13,13,Acrux,320,18.0,8.9,192952977600.76746
14,14,Aldebaran,65,1.5,44.0,3252427084.5583906
15,15,Antares,600,12.0,680.0,1683609314.3596375
16,16,Spica,260,11.43,7.47,145980422076.4039
17,17,Pollux,34,1.9,8.8,20598704868.869804
18,18,Fomalhaut,25,1.9,1.8,100704779358.91905
19,19,Deneb,"2,600",19.0,203.0,8929487824.928785
20,20,Mimosa,350,16.0,8.4,181722910121.3577
21,21,Regulus,77,3.8,3.1,116947485707.1318
22,22,Adhara,430,12.5,14.0,85182614119.38643
23,23,Shaula,700,14.5,8.8,157200642420.32217
24,24,Castor,52,2.8,2.4,111305282449.33157
25,25,Gacrux,88,1.5,84.0,1703652282.3877285
26,26,Bellatrix,240,8.6,5.8,141461886068.6086
27,27,Elnath,130,5.0,4.2,113576818825.84857
28,28,Miaplacidus,110,3.5,6.8,49105271668.82276
29,29,Alnilam,"2,000",32.0,42.0,72689164048.54308
30,30,Gamma Velorum,"1,100",9.0,6.0,143106791720.56918
31,31,Alnair,101,4.0,3.4,112240620957.30917
32,32,Alioth,81,2.9,4.2,65874554918.992165
33,33,Alnitak,1050,33.0,20.0,157417470892.62613
34,34,Dubhe,120,4.25,30.0,13515641440.27598
35,35,Mirfak,590,8.5,68.0,11925565976.7141
36,36,Wezen,"1,600",17.0,200.0,8109384864.165587
37,37,Sargas,270,5.7,26.0,20915608020.698574
38,38,Kaus Australis,140,3.5,6.8,49105271668.82276
39,39,Avior,630,9.0,130.0,6604928848.641655
40,40,Alkaid,104,6.1,3.4,171166946959.89645
41,41,Menkalinan,81,2.39,2.77,82316542048.65472
42,42,Atria,390,7.0,92.0,7259040159.7390175
43,43,Alhena,109,2.8,3.3,80949296326.7866
44,44,Peacock,180,5.9,4.8,117268065437.68866
45,45,Alsephina[2],80,2.4,2.9,78955471294.10713
46,46,Mirzam,500,13.5,10.0,128796112548.51228
47,47,Polaris,430,5.4,39.0,13209857697.283312
48,48,Alphard,180,3.0,50.0,5724271668.822767
49,49,Scheat,196,2.1,95.0,2108942193.7768092
50,50,Almaaz,653,15.0,140.0,10221913694.32637
51,51,Rasalgethi,360,2.8,280.0,954045278.1371279
52,52,Tau Ceti,11.9,0.783,0.893,83652570300.26553
53,53,Delta Pavonis,19.92,0.991,1.22,77496628740.4831
54,54,Ran,10.48,0.82,0.74,105718530820.60065
55,55,V382 Carinae,"8,900",20.0,485.0,3934207332.524239
56,56,Eta Carinae,"7,500",100.0,881.0,10829117799.513372
57,57,Delta Cephei,887,4.5,44.5,9647648880.038372
58,58,Mu Cephei,"6,000",19.2,972.0,1884533882.7400057
59,59,Titawin,44.25,1.27,1.48,81867398867.17247
60,60,Rho Cassiopeiae,"8,154",22.0,800.0,2623624514.877102
61,61,P Cygni,"5,545",30.0,76.0,37659682031.72874
62,62,VV Cephei,"4,900",18.2,750.0,2315149874.9460974
63,63,61 Cygni,11.41,0.7,0.665,100425818751.27661
64,64,R Doradus,178,0.8,298.0,256119537.75493369
65,65,Polaris Australis,281,1.59,3.74,40559678936.84581
66,66,R Coronae Borealis,"4,566",0.85,85.0,954045278.1371279
67,67,54 Piscium,36.1,0.76,0.94,77135575679.17204
68,68,Mira,300,1.2,370.0,309420090.2066361
